"","city_state","city","state","year","lat","lng","Anti-American Indian or Alaska Native","Anti-Arab","Anti-Asian","Anti-Atheism/Agnosticism","Anti-Bisexual","Anti-Black or African American","Anti-Buddhist","Anti-Catholic","Anti-Eastern Orthodox (Russian, Greek, Other)","Anti-Female","Anti-Gay (Male)","Anti-Gender Non-Conforming","Anti-Heterosexual","Anti-Hindu","Anti-Hispanic or Latino","Anti-Islamic (Muslim)","Anti-Jehovah's Witness","Anti-Jewish","Anti-Lesbian (Female)","Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)","Anti-Male","Anti-Mental Disability","Anti-Mormon","Anti-Multiple Races, Group","Anti-Multiple Religions, Group","Anti-Native Hawaiian or Other Pacific Islander","Anti-Other Christian","Anti-Other Race/Ethnicity/Ancestry","Anti-Other Religion","Anti-Physical Disability","Anti-Protestant","Anti-Sikh","Anti-Transgender","Anti-White","Unknown (offender's motivation not known)","total_cases"
"26","Scottsdale, AZ","Scottsdale","AZ",2013,33.6872,-111.8651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"27","Tempe, AZ","Tempe","AZ",2013,33.3881,-111.9318,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"28","Tucson, AZ","Tucson","AZ",2013,32.1545,-110.8782,0,0,0,0,1,11,0,1,0,0,3,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,26
"29","Apache Junction, AZ","Apache Junction","AZ",2013,33.3985,-111.5351,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"30","Maricopa, AZ","Maricopa","AZ",2013,33.0404,-112.0006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"31","Prescott, AZ","Prescott","AZ",2013,34.585,-112.4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"32","Yuma, AZ","Yuma","AZ",2013,32.5992,-114.5488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,2,0,11
"33","Alameda, CA","Alameda","CA",2013,37.767,-122.2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"34","Berkeley, CA","Berkeley","CA",2013,37.8723,-122.276,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13
"35","Emeryville, CA","Emeryville","CA",2013,37.8382,-122.2932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"36","Hayward, CA","Hayward","CA",2013,37.6328,-122.0772,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"37","Livermore, CA","Livermore","CA",2013,37.6862,-121.7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"38","Newark, CA","Newark","CA",2013,37.5204,-122.0312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"39","Oakland, CA","Oakland","CA",2013,37.7903,-122.2165,0,0,1,0,0,1,0,0,0,0,1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11
"40","San Leandro, CA","San Leandro","CA",2013,37.7071,-122.1601,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
"41","Union City, CA","Union City","CA",2013,37.603,-122.0187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5
"42","Chico, CA","Chico","CA",2013,39.7575,-121.8152,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"43","Gridley, CA","Gridley","CA",2013,39.3622,-121.6971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"44","Oroville, CA","Oroville","CA",2013,39.4999,-121.5634,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"45","Antioch, CA","Antioch","CA",2013,37.9789,-121.7958,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"46","Brentwood, CA","Brentwood","CA",2013,37.9355,-121.7191,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"47","Concord, CA","Concord","CA",2013,37.9722,-122.0016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"48","El Cerrito, CA","El Cerrito","CA",2013,37.9197,-122.3025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7
"49","Hercules, CA","Hercules","CA",2013,38.0064,-122.2564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"50","Pinole, CA","Pinole","CA",2013,37.9931,-122.2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"51","Richmond, CA","Richmond","CA",2013,37.9477,-122.339,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"52","Walnut Creek, CA","Walnut Creek","CA",2013,37.9024,-122.0398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"53","South Lake Tahoe, CA","South Lake Tahoe","CA",2013,38.9393,-119.9828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"54","Clovis, CA","Clovis","CA",2013,36.8278,-119.6831,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"55","Fresno, CA","Fresno","CA",2013,36.7831,-119.7941,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,10
"56","Eureka, CA","Eureka","CA",2013,40.7942,-124.1568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"57","Holtville, CA","Holtville","CA",2013,32.813,-115.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"58","Bakersfield, CA","Bakersfield","CA",2013,35.3529,-119.0359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
"59","Ridgecrest, CA","Ridgecrest","CA",2013,35.6308,-117.6621,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"60","Taft, CA","Taft","CA",2013,35.1267,-119.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"61","Tehachapi, CA","Tehachapi","CA",2013,35.1274,-118.4749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"62","Corcoran, CA","Corcoran","CA",2013,36.0839,-119.561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"63","Hanford, CA","Hanford","CA",2013,36.3274,-119.6549,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"64","Lemoore, CA","Lemoore","CA",2013,36.2949,-119.7983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"65","Clearlake, CA","Clearlake","CA",2013,38.959,-122.633,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"66","Alhambra, CA","Alhambra","CA",2013,34.084,-118.1355,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"67","Arcadia, CA","Arcadia","CA",2013,34.1342,-118.0373,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"68","Azusa, CA","Azusa","CA",2013,34.1386,-117.9124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"69","Baldwin Park, CA","Baldwin Park","CA",2013,34.0829,-117.9721,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
