"","city_state","city","state","year","lat","lng","Anti-American Indian or Alaska Native","Anti-Arab","Anti-Asian","Anti-Atheism/Agnosticism","Anti-Bisexual","Anti-Black or African American","Anti-Buddhist","Anti-Catholic","Anti-Eastern Orthodox (Russian, Greek, Other)","Anti-Female","Anti-Gay (Male)","Anti-Gender Non-Conforming","Anti-Heterosexual","Anti-Hindu","Anti-Hispanic or Latino","Anti-Islamic (Muslim)","Anti-Jehovah's Witness","Anti-Jewish","Anti-Lesbian (Female)","Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)","Anti-Male","Anti-Mental Disability","Anti-Mormon","Anti-Multiple Races, Group","Anti-Multiple Religions, Group","Anti-Native Hawaiian or Other Pacific Islander","Anti-Other Christian","Anti-Other Race/Ethnicity/Ancestry","Anti-Other Religion","Anti-Physical Disability","Anti-Protestant","Anti-Sikh","Anti-Transgender","Anti-White","Unknown (offender's motivation not known)","total_cases"
"1","Anchorage, AK","Anchorage","AK",2015,61.1508,-149.1091,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2","Kotzebue, AK","Kotzebue","AK",2015,66.8766,-162.5231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"3","Soldotna, AK","Soldotna","AK",2015,60.4862,-151.0672,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"4","North Pole, AK","North Pole","AK",2015,64.753,-147.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"5","Birmingham, AL","Birmingham","AL",2015,33.5277,-86.7987,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
"6","Hoover, AL","Hoover","AL",2015,33.3754,-86.8064,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"7","Prattville, AL","Prattville","AL",2015,32.4605,-86.4588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"8","Hot Springs, AR","Hot Springs","AR",2015,34.4892,-93.0501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"9","Bryant, AR","Bryant","AR",2015,34.6152,-92.4914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"10","Fort Smith, AR","Fort Smith","AR",2015,35.3493,-94.3695,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"11","Williams, AZ","Williams","AZ",2015,35.2476,-112.1833,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"12","Avondale, AZ","Avondale","AZ",2015,33.3858,-112.3236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"13","Chandler, AZ","Chandler","AZ",2015,33.2826,-111.8516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"14","El Mirage, AZ","El Mirage","AZ",2015,33.5905,-112.3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15","Gilbert, AZ","Gilbert","AZ",2015,33.3101,-111.7463,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"16","Glendale, AZ","Glendale","AZ",2015,33.5791,-112.2311,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
"17","Mesa, AZ","Mesa","AZ",2015,33.4017,-111.718,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
"18","Phoenix, AZ","Phoenix","AZ",2015,33.5722,-112.0891,6,0,2,0,0,81,0,0,0,0,36,0,0,0,15,4,0,24,5,8,0,2,0,3,7,0,0,5,5,3,0,0,0,25,0,231
"19","Scottsdale, AZ","Scottsdale","AZ",2015,33.6872,-111.8651,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"20","Holbrook, AZ","Holbrook","AZ",2015,34.9044,-110.1672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"21","Tucson, AZ","Tucson","AZ",2015,32.1545,-110.8782,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"22","Apache Junction, AZ","Apache Junction","AZ",2015,33.3985,-111.5351,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"23","Nogales, AZ","Nogales","AZ",2015,31.3624,-110.9336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24","Prescott, AZ","Prescott","AZ",2015,34.585,-112.4475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"25","Yuma, AZ","Yuma","AZ",2015,32.5992,-114.5488,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
"26","Alameda, CA","Alameda","CA",2015,37.767,-122.2672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"27","Berkeley, CA","Berkeley","CA",2015,37.8723,-122.276,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"28","Fremont, CA","Fremont","CA",2015,37.5265,-121.9852,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
"29","Hayward, CA","Hayward","CA",2015,37.6328,-122.0772,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"30","Livermore, CA","Livermore","CA",2015,37.6862,-121.7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
"31","Newark, CA","Newark","CA",2015,37.5204,-122.0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"32","Oakland, CA","Oakland","CA",2015,37.7903,-122.2165,0,0,0,0,0,4,0,0,0,0,3,0,1,0,1,2,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,18
"33","San Leandro, CA","San Leandro","CA",2015,37.7071,-122.1601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
"34","Gridley, CA","Gridley","CA",2015,39.3622,-121.6971,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"35","Antioch, CA","Antioch","CA",2015,37.9789,-121.7958,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
"36","Concord, CA","Concord","CA",2015,37.9722,-122.0016,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"37","El Cerrito, CA","El Cerrito","CA",2015,37.9197,-122.3025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"38","Pleasant Hill, CA","Pleasant Hill","CA",2015,37.954,-122.0759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39","Richmond, CA","Richmond","CA",2015,37.9477,-122.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"40","Walnut Creek, CA","Walnut Creek","CA",2015,37.9024,-122.0398,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"41","Clovis, CA","Clovis","CA",2015,36.8278,-119.6831,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"42","Firebaugh, CA","Firebaugh","CA",2015,36.8534,-120.4536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"43","Fresno, CA","Fresno","CA",2015,36.7831,-119.7941,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,10
