"","...1","city_state","city","state","year","lat","lng","Anti_American_Indian_or_Alaska_Native","Anti_Arab","Anti_Asian","Anti_Atheism_Agnosticism","Anti_Bisexual","Anti_Black_or_African_American","Anti_Buddhist","Anti_Catholic","Anti_Eastern_Orthodox_Russian__Greek__Other","Anti_Female","Anti_Gay_Male","Anti_Gender_Non_Conforming","Anti_Heterosexual","Anti_Hindu","Anti_Hispanic_or_Latino","Anti_Islamic_Muslim","Anti_Jehovahs_Witness","Anti_Jewish","Anti_Lesbian_Female","Anti_Lesbian__Gay__Bisexual__or_Transgender_Mixed_Group","Anti_Male","Anti_Mental_Disability","Anti_Mormon","Anti_Multiple_Races__Group","Anti_Multiple_Religions__Group","Anti_Native_Hawaiian_or_Other_Pacific_Islander","Anti_Other_Christian","Anti_Other_Race_Ethnicity_Ancestry","Anti_Other_Religion","Anti_Physical_Disability","Anti_Protestant","Anti_Sikh","Anti_Transgender","Anti_White","Unknown_offenders_motivation_not_known","total_cases","Anti_Race","Anti_Gender","Anti_Religion","Anti_Sexual_Orientation","Anti_Ableism"
"1",3592,"Anchorage, AK","Anchorage","AK",2013,61.1508,-149.1091,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0
"2",3593,"Hoover, AL","Hoover","AL",2013,33.3754,-86.8064,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"3",3594,"Prattville, AL","Prattville","AL",2013,32.4605,-86.4588,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"4",3595,"Florence, AL","Florence","AL",2013,34.8303,-87.6654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"5",3596,"Tuscaloosa, AL","Tuscaloosa","AL",2013,33.2348,-87.5267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"6",3597,"Bentonville, AR","Bentonville","AR",2013,36.3546,-94.2306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"7",3598,"Rogers, AR","Rogers","AR",2013,36.3172,-94.1526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"8",3599,"Berryville, AR","Berryville","AR",2013,36.3713,-93.5704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"9",3600,"Gurdon, AR","Gurdon","AR",2013,33.9155,-93.1544,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"10",3601,"Marion, AR","Marion","AR",2013,35.2041,-90.2061,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"11",3602,"Pine Bluff, AR","Pine Bluff","AR",2013,34.2116,-92.0178,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"12",3603,"England, AR","England","AR",2013,34.546,-91.969,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"13",3604,"Cabot, AR","Cabot","AR",2013,34.9768,-92.0274,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"14",3605,"North Little Rock, AR","North Little Rock","AR",2013,34.7808,-92.2371,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"15",3606,"Sherwood, AR","Sherwood","AR",2013,34.8508,-92.2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"16",3607,"Fort Smith, AR","Fort Smith","AR",2013,35.3493,-94.3695,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
"17",3608,"Fairfield Bay, AR","Fairfield Bay","AR",2013,35.605,-92.2658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"18",3609,"Eagar, AZ","Eagar","AZ",2013,34.1058,-109.2956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"19",3610,"Avondale, AZ","Avondale","AZ",2013,33.3858,-112.3236,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
"20",3611,"El Mirage, AZ","El Mirage","AZ",2013,33.5905,-112.3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"21",3612,"Gilbert, AZ","Gilbert","AZ",2013,33.3101,-111.7463,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"22",3613,"Glendale, AZ","Glendale","AZ",2013,33.5791,-112.2311,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0,2,1,0
"23",3614,"Goodyear, AZ","Goodyear","AZ",2013,33.2613,-112.3622,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"24",3615,"Mesa, AZ","Mesa","AZ",2013,33.4017,-111.718,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"25",3616,"Phoenix, AZ","Phoenix","AZ",2013,33.5722,-112.0891,0,0,1,0,0,41,0,0,0,0,18,0,0,0,17,3,0,9,4,1,0,1,0,2,4,0,0,10,3,1,0,0,0,8,0,123,78,0,6,23,2
"26",3617,"Scottsdale, AZ","Scottsdale","AZ",2013,33.6872,-111.8651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"27",3618,"Tempe, AZ","Tempe","AZ",2013,33.3881,-111.9318,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0
"28",3619,"Tucson, AZ","Tucson","AZ",2013,32.1545,-110.8782,0,0,0,0,1,11,0,1,0,0,3,0,0,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,26,16,0,4,6,0
"29",3620,"Apache Junction, AZ","Apache Junction","AZ",2013,33.3985,-111.5351,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1
"30",3621,"Maricopa, AZ","Maricopa","AZ",2013,33.0404,-112.0006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"31",3622,"Prescott, AZ","Prescott","AZ",2013,34.585,-112.4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"32",3623,"Yuma, AZ","Yuma","AZ",2013,32.5992,-114.5488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,2,0,11,5,0,2,0,1
"33",3624,"Alameda, CA","Alameda","CA",2013,37.767,-122.2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"34",3625,"Berkeley, CA","Berkeley","CA",2013,37.8723,-122.276,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13,8,0,0,4,0
"35",3626,"Emeryville, CA","Emeryville","CA",2013,37.8382,-122.2932,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"36",3627,"Hayward, CA","Hayward","CA",2013,37.6328,-122.0772,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"37",3628,"Livermore, CA","Livermore","CA",2013,37.6862,-121.7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"38",3629,"Newark, CA","Newark","CA",2013,37.5204,-122.0312,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
