"","...1","city_state","city","state","year","lat","lng","Anti_American_Indian_or_Alaska_Native","Anti_Arab","Anti_Asian","Anti_Atheism_Agnosticism","Anti_Bisexual","Anti_Black_or_African_American","Anti_Buddhist","Anti_Catholic","Anti_Eastern_Orthodox_Russian__Greek__Other","Anti_Female","Anti_Gay_Male","Anti_Gender_Non_Conforming","Anti_Heterosexual","Anti_Hindu","Anti_Hispanic_or_Latino","Anti_Islamic_Muslim","Anti_Jehovahs_Witness","Anti_Jewish","Anti_Lesbian_Female","Anti_Lesbian__Gay__Bisexual__or_Transgender_Mixed_Group","Anti_Male","Anti_Mental_Disability","Anti_Mormon","Anti_Multiple_Races__Group","Anti_Multiple_Religions__Group","Anti_Native_Hawaiian_or_Other_Pacific_Islander","Anti_Other_Christian","Anti_Other_Race_Ethnicity_Ancestry","Anti_Other_Religion","Anti_Physical_Disability","Anti_Protestant","Anti_Sikh","Anti_Transgender","Anti_White","Unknown_offenders_motivation_not_known","total_cases","Anti_Race","Anti_Gender","Anti_Religion","Anti_Sexual_Orientation","Anti_Ableism"
"1",2391,"Anchorage, AK","Anchorage","AK",2012,61.1508,-149.1091,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,0,1,0,0
"2",2392,"Hoover, AL","Hoover","AL",2012,33.3754,-86.8064,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,4,0,1,0,0
"3",2393,"Bentonville, AR","Bentonville","AR",2012,36.3546,-94.2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0
"4",2394,"Rogers, AR","Rogers","AR",2012,36.3172,-94.1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"5",2395,"Jonesboro, AR","Jonesboro","AR",2012,35.8212,-90.6791,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"6",2396,"McGehee, AR","McGehee","AR",2012,33.628,-91.3953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"7",2397,"Paragould, AR","Paragould","AR",2012,36.0555,-90.5149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"8",2398,"Newport, AR","Newport","AR",2012,35.6234,-91.2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"9",2399,"Pine Bluff, AR","Pine Bluff","AR",2012,34.2116,-92.0178,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
"10",2400,"Sherwood, AR","Sherwood","AR",2012,34.8508,-92.2028,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2,0,0,7,0
"11",2401,"Benton, AR","Benton","AR",2012,34.5775,-92.5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"12",2402,"Bryant, AR","Bryant","AR",2012,34.6152,-92.4914,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"13",2403,"Fort Smith, AR","Fort Smith","AR",2012,35.3493,-94.3695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"14",2404,"Springdale, AR","Springdale","AR",2012,36.1899,-94.1574,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1
"15",2405,"Ola, AR","Ola","AR",2012,35.031,-93.2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"16",2406,"Willcox, AZ","Willcox","AZ",2012,32.2514,-109.8359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"17",2407,"Flagstaff, AZ","Flagstaff","AZ",2012,35.1872,-111.6195,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,1,2,0
"18",2408,"Gilbert, AZ","Gilbert","AZ",2012,33.3101,-111.7463,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"19",2409,"Glendale, AZ","Glendale","AZ",2012,33.5791,-112.2311,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,4,0,2,2,0
"20",2410,"Mesa, AZ","Mesa","AZ",2012,33.4017,-111.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0
"21",2411,"Paradise Valley, AZ","Paradise Valley","AZ",2012,33.5434,-111.9595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"22",2412,"Phoenix, AZ","Phoenix","AZ",2012,33.5722,-112.0891,2,0,2,0,0,45,0,2,0,0,28,0,0,0,16,0,0,5,4,0,0,0,0,3,1,0,0,6,0,0,0,0,0,7,0,121,80,0,2,32,0
"23",2413,"Scottsdale, AZ","Scottsdale","AZ",2012,33.6872,-111.8651,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"24",2414,"Tempe, AZ","Tempe","AZ",2012,33.3881,-111.9318,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0
"25",2415,"Show Low, AZ","Show Low","AZ",2012,34.2671,-110.0384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"26",2416,"Tucson, AZ","Tucson","AZ",2012,32.1545,-110.8782,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,5,0,3,2,0
"27",2417,"Coolidge, AZ","Coolidge","AZ",2012,32.9395,-111.5261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"28",2418,"Apache Junction, AZ","Apache Junction","AZ",2012,33.3985,-111.5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"29",2419,"Maricopa, AZ","Maricopa","AZ",2012,33.0404,-112.0006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0
"30",2420,"Prescott Valley, AZ","Prescott Valley","AZ",2012,34.5983,-112.3176,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"31",2421,"Yuma, AZ","Yuma","AZ",2012,32.5992,-114.5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"32",2422,"Berkeley, CA","Berkeley","CA",2012,37.8723,-122.276,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,8,4,0,1,1,0
"33",2423,"Hayward, CA","Hayward","CA",2012,37.6328,-122.0772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,1,0
"34",2424,"Livermore, CA","Livermore","CA",2012,37.6862,-121.7608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,1,0,1,0,0
"35",2425,"Newark, CA","Newark","CA",2012,37.5204,-122.0312,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,2,0
"36",2426,"Oakland, CA","Oakland","CA",2012,37.7903,-122.2165,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,5,0,1,5,0
"37",2427,"San Leandro, CA","San Leandro","CA",2012,37.7071,-122.1601,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"38",2428,"Union City, CA","Union City","CA",2012,37.603,-122.0187,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"39",2429,"Chico, CA","Chico","CA",2012,39.7575,-121.8152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,1,0,1,1,0
"40",2430,"Paradise, CA","Paradise","CA",2012,39.7558,-121.6063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"41",2431,"Antioch, CA","Antioch","CA",2012,37.9789,-121.7958,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,2,0
"42",2432,"Brentwood, CA","Brentwood","CA",2012,37.9355,-121.7191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"43",2433,"Concord, CA","Concord","CA",2012,37.9722,-122.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"44",2434,"Hercules, CA","Hercules","CA",2012,38.0064,-122.2564,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"45",2435,"Pinole, CA","Pinole","CA",2012,37.9931,-122.2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"46",2436,"Pittsburg, CA","Pittsburg","CA",2012,38.0182,-121.8964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"47",2437,"Richmond, CA","Richmond","CA",2012,37.9477,-122.339,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,2,0,0,0,0
"48",2438,"Walnut Creek, CA","Walnut Creek","CA",2012,37.9024,-122.0398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"49",2439,"Placerville, CA","Placerville","CA",2012,38.7308,-120.7978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"50",2440,"Clovis, CA","Clovis","CA",2012,36.8278,-119.6831,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0
"51",2441,"Fowler, CA","Fowler","CA",2012,36.6243,-119.6737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"52",2442,"Fresno, CA","Fresno","CA",2012,36.7831,-119.7941,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,0,0,2,0
"53",2443,"Parlier, CA","Parlier","CA",2012,36.6087,-119.5434,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"54",2444,"Reedley, CA","Reedley","CA",2012,36.5987,-119.4473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"55",2445,"Orland, CA","Orland","CA",2012,39.7461,-122.1856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
