"","...1","city_state","city","state","year","lat","lng","Anti_American_Indian_or_Alaska_Native","Anti_Arab","Anti_Asian","Anti_Atheism_Agnosticism","Anti_Bisexual","Anti_Black_or_African_American","Anti_Buddhist","Anti_Catholic","Anti_Eastern_Orthodox_Russian__Greek__Other","Anti_Female","Anti_Gay_Male","Anti_Gender_Non_Conforming","Anti_Heterosexual","Anti_Hindu","Anti_Hispanic_or_Latino","Anti_Islamic_Muslim","Anti_Jehovahs_Witness","Anti_Jewish","Anti_Lesbian_Female","Anti_Lesbian__Gay__Bisexual__or_Transgender_Mixed_Group","Anti_Male","Anti_Mental_Disability","Anti_Mormon","Anti_Multiple_Races__Group","Anti_Multiple_Religions__Group","Anti_Native_Hawaiian_or_Other_Pacific_Islander","Anti_Other_Christian","Anti_Other_Race_Ethnicity_Ancestry","Anti_Other_Religion","Anti_Physical_Disability","Anti_Protestant","Anti_Sikh","Anti_Transgender","Anti_White","Unknown_offenders_motivation_not_known","total_cases","Anti_Race","Anti_Gender","Anti_Religion","Anti_Sexual_Orientation","Anti_Ableism"
"1",4692,"Anchorage, AK","Anchorage","AK",2014,61.1508,-149.1091,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0
"2",4693,"Fairfield, AL","Fairfield","AL",2014,33.4747,-86.9194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"3",4694,"Hoover, AL","Hoover","AL",2014,33.3754,-86.8064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"4",4695,"Prattville, AL","Prattville","AL",2014,32.4605,-86.4588,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0
"5",4696,"Sylacauga, AL","Sylacauga","AL",2014,33.1778,-86.2606,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
"6",4697,"Bentonville, AR","Bentonville","AR",2014,36.3546,-94.2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"7",4698,"Rogers, AR","Rogers","AR",2014,36.3172,-94.1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"8",4699,"Hot Springs, AR","Hot Springs","AR",2014,34.4892,-93.0501,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"9",4700,"Fort Smith, AR","Fort Smith","AR",2014,35.3493,-94.3695,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,1,0
"10",4701,"Flagstaff, AZ","Flagstaff","AZ",2014,35.1872,-111.6195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"11",4702,"Avondale, AZ","Avondale","AZ",2014,33.3858,-112.3236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,1,0,0
"12",4703,"Chandler, AZ","Chandler","AZ",2014,33.2826,-111.8516,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"13",4704,"El Mirage, AZ","El Mirage","AZ",2014,33.5905,-112.3271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"14",4705,"Gilbert, AZ","Gilbert","AZ",2014,33.3101,-111.7463,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"15",4706,"Glendale, AZ","Glendale","AZ",2014,33.5791,-112.2311,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,0,2,2,0
"16",4707,"Goodyear, AZ","Goodyear","AZ",2014,33.2613,-112.3622,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"17",4708,"Mesa, AZ","Mesa","AZ",2014,33.4017,-111.718,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,6,0,1,3,0
"18",4709,"Phoenix, AZ","Phoenix","AZ",2014,33.5722,-112.0891,4,0,5,0,0,67,0,0,0,0,29,0,0,0,19,3,0,14,6,0,0,2,0,3,1,0,0,16,1,1,0,0,0,12,0,183,124,0,4,35,3
"19",4710,"Scottsdale, AZ","Scottsdale","AZ",2014,33.6872,-111.8651,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0
"20",4711,"Tempe, AZ","Tempe","AZ",2014,33.3881,-111.9318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
"21",4712,"Kingman, AZ","Kingman","AZ",2014,35.217,-114.0105,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
"22",4713,"Tucson, AZ","Tucson","AZ",2014,32.1545,-110.8782,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,9,4,0,2,3,0
"23",4714,"Oro Valley, AZ","Oro Valley","AZ",2014,32.4208,-110.9768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"24",4715,"Apache Junction, AZ","Apache Junction","AZ",2014,33.3985,-111.5351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"25",4716,"Cottonwood, AZ","Cottonwood","AZ",2014,34.7192,-112.0014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"26",4717,"Yuma, AZ","Yuma","AZ",2014,32.5992,-114.5488,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,2,2,0,0,0,0,2,0,14,5,0,2,1,0
"27",4718,"Alameda, CA","Alameda","CA",2014,37.767,-122.2672,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0
"28",4719,"Berkeley, CA","Berkeley","CA",2014,37.8723,-122.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0
"29",4720,"Fremont, CA","Fremont","CA",2014,37.5265,-121.9852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"30",4721,"Hayward, CA","Hayward","CA",2014,37.6328,-122.0772,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0
"31",4722,"Livermore, CA","Livermore","CA",2014,37.6862,-121.7608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0
"32",4723,"Newark, CA","Newark","CA",2014,37.5204,-122.0312,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"33",4724,"Oakland, CA","Oakland","CA",2014,37.7903,-122.2165,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,14,6,0,2,5,0
"34",4725,"Piedmont, CA","Piedmont","CA",2014,37.8226,-122.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"35",4726,"San Leandro, CA","San Leandro","CA",2014,37.7071,-122.1601,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0
"36",4727,"Union City, CA","Union City","CA",2014,37.603,-122.0187,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"37",4728,"Dublin, CA","Dublin","CA",2014,37.7161,-121.8963,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"38",4729,"Ione, CA","Ione","CA",2014,38.3613,-120.9422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"39",4730,"Chico, CA","Chico","CA",2014,39.7575,-121.8152,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0
"40",4731,"Colusa, CA","Colusa","CA",2014,39.2059,-122.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"41",4732,"Antioch, CA","Antioch","CA",2014,37.9789,-121.7958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,2,2,0,1,0
"42",4733,"Brentwood, CA","Brentwood","CA",2014,37.9355,-121.7191,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"43",4734,"El Cerrito, CA","El Cerrito","CA",2014,37.9197,-122.3025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,1,0,0,0,0
"44",4735,"Hercules, CA","Hercules","CA",2014,38.0064,-122.2564,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"45",4736,"Pittsburg, CA","Pittsburg","CA",2014,38.0182,-121.8964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"46",4737,"Walnut Creek, CA","Walnut Creek","CA",2014,37.9024,-122.0398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"47",4738,"San Ramon, CA","San Ramon","CA",2014,37.7625,-121.9365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"48",4739,"Coalinga, CA","Coalinga","CA",2014,36.143,-120.3262,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"49",4740,"Fresno, CA","Fresno","CA",2014,36.7831,-119.7941,0,0,1,0,1,5,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,8,0,0,3,0
"50",4741,"Arcata, CA","Arcata","CA",2014,40.8615,-124.0757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"51",4742,"Eureka, CA","Eureka","CA",2014,40.7942,-124.1568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"52",4743,"Arvin, CA","Arvin","CA",2014,35.1944,-118.8306,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"53",4744,"Bakersfield, CA","Bakersfield","CA",2014,35.3529,-119.0359,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0
"54",4745,"Taft, CA","Taft","CA",2014,35.1267,-119.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"55",4746,"Tehachapi, CA","Tehachapi","CA",2014,35.1274,-118.4749,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"56",4747,"Clearlake, CA","Clearlake","CA",2014,38.959,-122.633,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"57",4748,"Alhambra, CA","Alhambra","CA",2014,34.084,-118.1355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"58",4749,"Azusa, CA","Azusa","CA",2014,34.1386,-117.9124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
"59",4750,"Beverly Hills, CA","Beverly Hills","CA",2014,34.0786,-118.4021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"60",4751,"Burbank, CA","Burbank","CA",2014,34.1879,-118.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
